rating1,rating2,rating3,rating4,rating5,month,year
5,0,4,2,3,5,2001
5,0,5,2,5,6,2001
1,1,4,5,3,7,2001
5,4,5,0,2,8,2001
3,0,4,0,4,9,2001
5,3,4,4,5,10,2001
3,2,0,1,5,11,2001
1,1,3,3,0,12,2001
0,2,3,5,1,1,2002
4,2,0,5,0,2,2002
1,4,0,1,0,3,2002
3,3,1,3,1,4,2002
0,1,4,3,5,5,2002
0,1,2,3,5,6,2002
0,0,0,5,2,7,2002
0,1,1,1,5,8,2002
0,5,5,1,4,9,2002
1,5,2,2,4,10,2002
2,4,3,4,1,11,2002
0,0,1,5,2,12,2002
0,3,4,0,4,1,2003
5,5,4,5,1,2,2003
0,0,3,3,1,3,2003
2,1,3,3,2,4,2003
3,0,1,0,4,5,2003
1,1,0,0,1,6,2003
4,3,2,0,4,7,2003
5,4,4,5,3,8,2003
1,0,2,5,4,9,2003
0,2,1,4,3,10,2003
3,2,2,3,0,11,2003
3,3,3,5,5,12,2003
3,2,5,3,5,1,2004
5,1,5,4,0,2,2004
1,1,4,3,3,3,2004
2,2,2,4,3,4,2004
1,1,4,4,1,5,2004
2,3,5,0,4,6,2004
4,3,0,4,3,7,2004
0,1,4,0,4,8,2004
4,2,2,3,2,9,2004
0,3,3,5,2,10,2004
4,3,0,0,3,11,2004
1,0,5,1,4,12,2004
5,2,3,3,2,1,2005
2,1,1,2,1,2,2005
3,5,2,5,1,3,2005
4,5,3,5,4,4,2005
1,0,1,1,5,5,2005
5,1,3,5,3,6,2005
4,4,0,1,4,7,2005
2,1,4,4,5,8,2005
2,5,3,5,3,9,2005
5,1,0,5,5,10,2005
2,1,0,2,0,11,2005
0,0,0,0,1,12,2005
3,2,5,5,5,1,2006
0,0,0,1,5,2,2006
4,4,5,4,3,3,2006
2,1,0,3,3,4,2006
5,4,1,2,4,5,2006
1,2,1,0,3,6,2006
0,0,2,4,3,7,2006
2,4,1,3,0,8,2006
5,5,0,2,3,9,2006
0,4,5,5,5,10,2006
2,1,3,0,5,11,2006
5,2,5,4,2,12,2006
3,1,4,0,2,1,2007
2,5,2,4,2,2,2007
5,4,4,4,3,3,2007
1,1,2,1,1,4,2007
4,2,2,1,0,5,2007
0,2,4,0,2,6,2007
5,2,2,0,0,7,2007
4,1,4,2,2,8,2007
5,4,1,5,2,9,2007
5,4,0,5,0,10,2007
3,4,0,1,4,11,2007
3,1,0,4,3,12,2007
1,3,3,5,3,1,2008
2,1,1,1,5,2,2008
3,0,5,1,4,3,2008
2,0,2,2,3,4,2008
0,0,3,3,5,5,2008
2,1,1,2,2,6,2008
2,5,5,4,5,7,2008
4,3,1,2,1,8,2008
2,3,5,1,0,9,2008
2,2,1,4,1,10,2008
0,0,1,5,1,11,2008
5,4,0,0,0,12,2008
1,3,0,1,5,1,2009
0,4,4,2,4,2,2009
0,3,2,0,2,3,2009
5,2,2,3,5,4,2009
0,5,1,0,2,5,2009
3,0,2,3,0,6,2009
0,1,2,0,1,7,2009
0,3,1,3,5,8,2009
0,0,0,2,2,9,2009
3,3,3,5,2,10,2009
2,5,4,2,3,11,2009
5,5,5,3,5,12,2009
3,4,0,0,5,1,2010
3,0,0,3,1,2,2010
5,2,4,1,3,3,2010
4,0,0,1,2,4,2010
3,2,3,0,4,5,2010
4,5,0,5,5,6,2010
5,5,0,0,1,7,2010
2,5,4,2,5,8,2010
2,3,5,5,0,9,2010
5,0,2,0,3,10,2010
3,2,4,2,5,11,2010
0,4,4,3,4,12,2010
2,1,1,0,3,1,2011
0,1,1,5,1,2,2011
0,0,0,1,4,3,2011
3,5,0,1,0,4,2011
2,0,0,0,3,5,2011
2,4,3,1,5,6,2011
1,5,5,2,0,7,2011
0,0,3,5,2,8,2011
1,2,0,2,4,9,2011
1,0,1,5,1,10,2011
1,5,0,0,1,11,2011
4,2,4,0,2,12,2011
5,5,2,2,4,1,2012
4,1,4,5,1,2,2012
4,4,0,3,3,3,2012
1,4,4,2,4,4,2012
1,2,3,2,0,5,2012
0,5,3,0,4,6,2012
5,2,5,2,3,7,2012
0,0,1,3,1,8,2012
0,2,3,1,0,9,2012
4,0,0,1,3,10,2012
0,2,3,1,2,11,2012
5,2,2,0,0,12,2012
2,0,5,3,2,1,2013
4,1,0,3,2,2,2013
1,2,4,1,1,3,2013
0,1,3,0,4,4,2013
5,0,1,1,3,5,2013
0,1,3,2,0,6,2013
1,3,4,4,3,7,2013
4,0,1,3,2,8,2013
3,5,3,1,5,9,2013
5,1,4,3,0,10,2013
3,1,4,5,1,11,2013
5,3,1,1,0,12,2013
5,2,2,3,0,1,2014
4,4,0,1,1,2,2014
1,2,4,0,4,3,2014
4,0,0,2,3,4,2014
0,3,3,0,2,5,2014
2,3,4,1,1,6,2014
3,3,5,3,0,7,2014
1,5,3,5,3,8,2014
5,4,0,5,1,9,2014
2,3,5,0,0,10,2014
3,0,0,1,0,11,2014
4,1,3,0,2,12,2014
0,5,0,5,1,1,2015
4,3,3,0,4,2,2015
2,0,0,5,5,3,2015
0,2,2,3,0,4,2015
3,2,5,2,4,5,2015
5,2,3,4,3,6,2015
0,2,2,2,1,7,2015
4,4,3,5,4,8,2015
3,4,4,4,1,9,2015
5,2,0,4,0,10,2015
3,1,5,0,2,11,2015
1,0,1,4,4,12,2015
1,5,2,3,0,1,2016
2,0,3,4,2,2,2016
2,2,5,5,4,3,2016
5,4,3,3,3,4,2016
2,2,0,2,2,5,2016
4,3,0,5,1,6,2016
3,2,3,3,2,7,2016
4,4,5,2,1,8,2016
1,5,3,2,2,9,2016
3,1,1,3,5,10,2016
1,3,0,5,3,11,2016
1,0,4,1,5,12,2016
2,4,1,1,0,1,2017
5,3,5,3,5,2,2017
2,2,0,5,4,3,2017
3,0,1,0,3,4,2017
3,0,3,0,5,5,2017
5,4,2,3,3,6,2017
5,1,1,2,1,7,2017
5,1,5,3,4,8,2017
1,5,3,5,2,9,2017
4,5,1,1,1,10,2017
1,4,0,2,1,11,2017
0,4,0,2,3,12,2017
5,0,2,5,4,1,2018
5,1,5,2,0,2,2018
1,0,4,4,2,3,2018
1,5,4,2,1,4,2018
1,3,5,5,2,5,2018
5,5,5,2,2,6,2018
5,2,1,1,3,7,2018
3,4,3,1,2,8,2018
1,5,2,0,1,9,2018
0,3,0,4,4,10,2018
2,4,2,0,2,11,2018
3,1,0,2,3,12,2018
4,0,5,1,5,1,2019
4,5,4,4,5,2,2019
1,5,3,0,1,3,2019
3,4,3,1,4,4,2019
3,2,5,4,5,5,2019
1,1,0,0,1,6,2019
0,0,4,5,1,7,2019
3,5,5,4,5,8,2019
0,2,2,1,4,9,2019
1,3,0,2,5,10,2019
4,0,4,1,1,11,2019
5,2,4,4,0,12,2019
5,4,4,0,3,1,2020
0,2,1,5,3,2,2020
1,0,1,0,2,3,2020
0,3,0,4,5,4,2020
3,1,5,3,1,5,2020
3,0,1,0,1,6,2020
4,4,4,5,1,7,2020
0,3,0,0,2,8,2020
1,0,1,3,1,9,2020
5,4,0,0,4,10,2020
1,0,4,0,0,11,2020
2,2,4,3,2,12,2020
4,4,2,1,0,1,2021
5,0,1,0,2,2,2021
5,2,3,0,3,3,2021
3,0,5,4,4,4,2021
2,1,2,0,5,5,2021
2,4,2,3,3,6,2021
0,2,2,5,4,7,2021
1,5,5,2,0,8,2021
4,1,2,1,3,9,2021
0,0,1,0,3,10,2021
5,3,5,5,5,11,2021
0,0,1,4,3,12,2021
0,2,2,1,0,1,2022
1,4,3,1,3,2,2022
3,1,3,4,5,3,2022
4,4,5,5,2,4,2022
5,0,0,3,3,5,2022
5,5,0,3,3,6,2022
3,1,0,0,1,7,2022
1,0,5,5,0,8,2022
4,5,0,0,5,9,2022
0,3,0,4,3,10,2022
3,3,1,0,2,11,2022
5,4,4,3,5,12,2022
4,0,4,1,1,1,2023
3,0,0,0,1,2,2023
1,4,0,5,5,3,2023
0,0,5,3,1,4,2023
4,0,1,4,2,5,2023
1,4,4,2,4,6,2023
1,1,0,5,5,7,2023
2,3,5,0,2,8,2023
5,1,5,0,0,9,2023
0,5,2,2,5,10,2023
2,2,5,5,2,11,2023
1,2,3,1,0,12,2023
