district,city,wilaya
Timekten,Aoulef,Adrar
Bouda,Adrar,Adrar
Ouled Ahmed Timmi,Adrar,Adrar
Adrar,Adrar,Adrar
Fenoughil,Fenoughil,Adrar
In Zghmir,Zaouiat Kounta,Adrar
Reggane,Reggane,Adrar
Sali,Reggane,Adrar
Sebaa,Tsabit,Adrar
Tsabit,Tsabit,Adrar
Tamest,Fenoughil,Adrar
Tamantit,Fenoughil,Adrar
Tit,Aoulef,Adrar
Zaouiet Kounta,Zaouiat Kounta,Adrar
Akabli,Aoulef,Adrar
Aoulef,Aoulef,Adrar
Talassa,Abou El Hassane,Chlef
Zeboudja,Zeboudja,Chlef
El Hadjadj,Ouled Ben Abdelkader,Chlef
Ouled Ben Abdelkader,Ouled Ben Abdelkader,Chlef
Ain Merane,Ain Merane,Chlef
Breira,Beni Haoua,Chlef
Ouled Abbes,Oued Fodda,Chlef
Oued Fodda,Oued Fodda,Chlef
Beni Rached,Oued Fodda,Chlef
Herenfa,Ain Merane,Chlef
Tadjena,Abou El Hassane,Chlef
El Marsa,El Marsa,Chlef
Chlef,Chlef,Chlef
Oum Drou,Chlef,Chlef
Sendjas,Chlef,Chlef
Sidi Abderrahmane,Tenes,Chlef
Sidi Akkacha,Tenes,Chlef
Tenes,Tenes,Chlef
Beni  Bouattab,El Karimia,Chlef
El Karimia,El Karimia,Chlef
Harchoun,El Karimia,Chlef
Bouzeghaia,Zeboudja,Chlef
Taougrit,Taougrit,Chlef
Beni Haoua,Beni Haoua,Chlef
Abou El Hassane,Abou El Hassane,Chlef
Oued Goussine,Beni Haoua,Chlef
Chettia,Ouled Fares,Chlef
Moussadek,El Marsa,Chlef
Ouled Fares,Ouled Fares,Chlef
Boukadir,Boukadir,Chlef
Oued Sly,Boukadir,Chlef
Sobha,Boukadir,Chlef
Benairia,Zeboudja,Chlef
Labiod Medjadja,Ouled Fares,Chlef
Dahra,Taougrit,Chlef
El Beidha,Gueltat Sidi Saad,Laghouat
Gueltat Sidi Saad,Gueltat Sidi Saad,Laghouat
Brida,Brida,Laghouat
Ain Sidi Ali,Gueltat Sidi Saad,Laghouat
Tadjemout,Ain Madhi,Laghouat
Hadj Mechri,Brida,Laghouat
Taouiala,Brida,Laghouat
El Ghicha,El Ghicha,Laghouat
Tadjrouna,Ain Madhi,Laghouat
Sebgag,Aflou,Laghouat
Sidi Bouzid,Aflou,Laghouat
Oued Morra,Oued Morra,Laghouat
Laghouat,Laghouat,Laghouat
Oued M'zi,Oued Morra,Laghouat
Ksar El Hirane,Ksar El Hirane,Laghouat
El Assafia,Sidi Makhlouf,Laghouat
Sidi Makhlouf,Sidi Makhlouf,Laghouat
Hassi Delaa,Hassi R'mel,Laghouat
Hassi R'mel,Hassi R'mel,Laghouat
Ain Madhi,Ain Madhi,Laghouat
El Haouaita,Ain Madhi,Laghouat
Kheneg,Ain Madhi,Laghouat
Benacer Benchohra,Ksar El Hirane,Laghouat
Aflou,Aflou,Laghouat
Fkirina,F'kirina,Oum El Bouaghi
El Fedjoudj Boughrara Sa,Ain Fekroun,Oum El Bouaghi
Ain Fekroun,Ain Fekroun,Oum El Bouaghi
Rahia,Meskiana,Oum El Bouaghi
Meskiana,Meskiana,Oum El Bouaghi
El Belala,Meskiana,Oum El Bouaghi
Behir Chergui,Meskiana,Oum El Bouaghi
Ksar Sbahi,Ksar Sbahi,Oum El Bouaghi
Souk Naamane,Souk Naamane,Oum El Bouaghi
Ouled Zouai,Souk Naamane,Oum El Bouaghi
Oum El Bouaghi,Oum El Bouaghi,Oum El Bouaghi
Ain Babouche,Ain Babouche,Oum El Bouaghi
Ain Zitoun,Oum El Bouaghi,Oum El Bouaghi
Bir Chouhada,Souk Naamane,Oum El Bouaghi
Ain Beida,Ain Beida,Oum El Bouaghi
Berriche,Ain Beida,Oum El Bouaghi
Zorg,Ain Beida,Oum El Bouaghi
Ain M'lila,Ain M'lila,Oum El Bouaghi
Ouled Gacem,Ain M'lila,Oum El Bouaghi
Ouled Hamla,Ain M'lila,Oum El Bouaghi
El Amiria,Sigus,Oum El Bouaghi
Sigus,Sigus,Oum El Bouaghi
Oued Nini,F'kirina,Oum El Bouaghi
Ain Diss,Ain Babouche,Oum El Bouaghi
Dhalaa,Dhalaa,Oum El Bouaghi
El Djazia,Dhalaa,Oum El Bouaghi
Ain Kercha,Ain Kercha,Oum El Bouaghi
El Harmilia,Ain Kercha,Oum El Bouaghi
Hanchir Toumghani,Ain Kercha,Oum El Bouaghi
Maafa,Ain Touta,Batna
Gosbat,Ras El Aioun,Batna
Timgad,Timgad,Batna
Taxlent,Ouled Si Slimane,Batna
Ouled Si Slimane,Ouled Si Slimane,Batna
Lemcene,Ouled Si Slimane,Batna
Talkhamt,Ras El Aioun,Batna
Ras El Aioun,Ras El Aioun,Batna
Rahbat,Ras El Aioun,Batna
Ouled Sellem,Ras El Aioun,Batna
Guigba,Ras El Aioun,Batna
Teniet El Abed,Theniet El Abed,Batna
Batna,Batna,Batna
Fesdis,Batna,Batna
Oued Chaaba,Batna,Batna
Hidoussa,Merouana,Batna
Ksar Bellezma,Merouana,Batna
Merouana,Merouana,Batna
Oued El Ma,Merouana,Batna
Lazrou,Seriana,Batna
Seriana,Seriana,Batna
Zanet El Beida,Seriana,Batna
Menaa,Menaa,Batna
Tigharghar,Menaa,Batna
Ain Yagout,El Madher,Batna
Boumia,El Madher,Batna
Djerma,El Madher,Batna
El Madher,El Madher,Batna
Ouyoun El Assafir,Tazoult,Batna
Tazoult,Tazoult,Batna
Boumagueur,N'gaous,Batna
N Gaous,N'gaous,Batna
Sefiane,N'gaous,Batna
Arris,Arris,Batna
Tighanimine,Arris,Batna
Ain Djasser,Ain Djasser,Batna
El Hassi,Ain Djasser,Batna
Seggana,Seggana,Batna
Tilatou,Seggana,Batna
Foum Toub,Ichemoul,Batna
Ichemoul,Ichemoul,Batna
Inoughissen,Ichemoul,Batna
Bouzina,Bouzina,Batna
Larbaa,Bouzina,Batna
Boulhilat,Chemora,Batna
Chemora,Chemora,Batna
Barika,Barika,Batna
Bitam,Barika,Batna
M Doukal,Barika,Batna
Azil Abedelkader,Djezzar,Batna
Djezzar,Djezzar,Batna
Ouled Ammar,Djezzar,Batna
Ghassira,Tkout,Batna
Kimmel,Tkout,Batna
T Kout,Tkout,Batna
Ain Touta,Ain Touta,Batna
Beni Foudhala El Hakania,Ain Touta,Batna
Ouled Fadel,Timgad,Batna
Ouled Aouf,Ain Touta,Batna
Chir,Theniet El Abed,Batna
Oued Taga,Theniet El Abed,Batna
Sidi Ayad,Sidi Aich,Béjaïa
Barbacha,Barbacha,Béjaïa
Leflaye,Sidi Aich,Béjaïa
Kendira,Barbacha,Béjaïa
Sidi-Aich,Sidi Aich,Béjaïa
Tifra,Sidi Aich,Béjaïa
Tinebdar,Sidi Aich,Béjaïa
El Kseur,El Kseur,Béjaïa
Fenaia Il Maten,El Kseur,Béjaïa
Toudja,El Kseur,Béjaïa
Dra El Caid,Kherrata,Béjaïa
Kherrata,Kherrata,Béjaïa
Bejaia,Bejaia,Béjaïa
Oued Ghir,Bejaia,Béjaïa
Benimaouche,Beni Maouche,Béjaïa
Beni Djellil,Amizour,Béjaïa
Feraoun,Amizour,Béjaïa
Smaoun,Amizour,Béjaïa
Timezrit,Timezrit,Béjaïa
Melbou,Souk El Tenine,Béjaïa
Souk El Tenine,Souk El Tenine,Béjaïa
Tamridjet,Souk El Tenine,Béjaïa
Boukhelifa,Tichy,Béjaïa
Tala Hamza,Tichy,Béjaïa
Tichy,Tichy,Béjaïa
Ait R'zine,Ighil Ali,Béjaïa
Ighil-Ali,Ighil Ali,Béjaïa
Ait-Smail,Darguina,Béjaïa
Darguina,Darguina,Béjaïa
Taskriout,Darguina,Béjaïa
Aokas,Aokas,Béjaïa
Tizi-N'berber,Aokas,Béjaïa
Adekar,Adekar,Béjaïa
Beni K'sila,Adekar,Béjaïa
Taourit Ighil,Adekar,Béjaïa
Akbou,Akbou,Béjaïa
Chellata,Akbou,Béjaïa
Ighram,Akbou,Béjaïa
Tamokra,Akbou,Béjaïa
Amalou,Seddouk,Béjaïa
Bouhamza,Seddouk,Béjaïa
M'cisna,Seddouk,Béjaïa
Seddouk,Seddouk,Béjaïa
Beni-Mallikeche,Tazmalt,Béjaïa
Boudjellil,Tazmalt,Béjaïa
Tazmalt,Tazmalt,Béjaïa
Akfadou,Chemini,Béjaïa
Chemini,Chemini,Béjaïa
Souk Oufella,Chemini,Béjaïa
Tibane,Chemini,Béjaïa
Ouzellaguen,Ifri Ouzellaguene,Béjaïa
Amizour,Amizour,Béjaïa
El Feidh,Zeribet El Oued,Biskra
Lichana,Tolga,Biskra
Bouchakroun,Tolga,Biskra
Mekhadma,Ourlal,Biskra
Djemorah,Djemorah,Biskra
Branis,Djemorah,Biskra
El Outaya,El Outaya,Biskra
El Kantara,El Kantara,Biskra
Khenguet Sidi Nadji,Zeribet El Oued,Biskra
Ain Zaatout,El Kantara,Biskra
Zeribet El Oued,Zeribet El Oued,Biskra
Meziraa,Zeribet El Oued,Biskra
Biskra,Biskra,Biskra
El Hadjab,Biskra,Biskra
M'lili,Ourlal,Biskra
Foughala,Foughala,Biskra
El Ghrous,Foughala,Biskra
Bordj Ben Azzouz,Tolga,Biskra
Ourlal,Ourlal,Biskra
Oumache,Ourlal,Biskra
Ain Naga,Sidi Okba,Biskra
Chetma,Sidi Okba,Biskra
El Haouch,Sidi Okba,Biskra
Sidi Okba,Sidi Okba,Biskra
M'chouneche,Mechouneche,Biskra
Lioua,Ourlal,Biskra
Tolga,Tolga,Biskra
Bechar,Bechar,Béchar
Boukais,Lahmar,Béchar
Lahmar,Lahmar,Béchar
Mogheul,Lahmar,Béchar
Meridja,Kenadsa,Béchar
Taghit,Taghit,Béchar
Abadla,Abadla,Béchar
Erg-Ferradj,Abadla,Béchar
Machraa-Houari-Boumediene,Abadla,Béchar
Beni-Ounif,Beni Ounif,Béchar
Tabelbala,Tabelbala,Béchar
Kenadsa,Kenadsa,Béchar
Beni Mered,Ouled Yaich,Blida
Ouled Slama,Bougara,Blida
Mouzaia,Mouzaia,Blida
Hammam Elouane,Bougara,Blida
Bougara,Bougara,Blida
Souhane,Larbaa,Blida
Larbaa,Larbaa,Blida
Soumaa,Boufarik,Blida
Guerrouaou,Boufarik,Blida
Boufarik,Boufarik,Blida
Meftah,Meftah,Blida
Chiffa,Mouzaia,Blida
Ain Romana,Mouzaia,Blida
Oued  Djer,El Affroun,Blida
El-Affroun,El Affroun,Blida
Ouled Yaich,Ouled Yaich,Blida
Chrea,Ouled Yaich,Blida
Djebabra,Meftah,Blida
Oued El Alleug,Oued El Alleug,Blida
Benkhelil,Oued El Alleug,Blida
Beni-Tamou,Oued El Alleug,Blida
Chebli,Bouinan,Blida
Bouinan,Bouinan,Blida
Bouarfa,Blida,Blida
Blida,Blida,Blida
Ain Laloui,Ain Bessem,Bouira
Hadjera Zerga,Bordj Okhriss,Bouira
Mezdour,Bordj Okhriss,Bouira
Taguedite,Bordj Okhriss,Bouira
Ridane,Sour El Ghozlane,Bouira
Maamora,Sour El Ghozlane,Bouira
El-Hakimia,Sour El Ghozlane,Bouira
Ahl El Ksar,Bechloul,Bouira
Dirah,Sour El Ghozlane,Bouira
Dechmia,Sour El Ghozlane,Bouira
Bechloul,Bechloul,Bouira
Ath Mansour,M'chedallah,Bouira
Saharidj,M'chedallah,Bouira
El Adjiba,Bechloul,Bouira
El Asnam,Bechloul,Bouira
M Chedallah,M'chedallah,Bouira
Bordj Okhriss,Bordj Okhriss,Bouira
Sour El Ghozlane,Sour El Ghozlane,Bouira
Hanif,M'chedallah,Bouira
Chorfa,M'chedallah,Bouira
Ouled Rached,Bechloul,Bouira
Ain El Hadjar,Ain Bessem,Bouira
Aghbalou,M'chedallah,Bouira
Raouraoua,Bir Ghbalou,Bouira
El Khabouzia,Bir Ghbalou,Bouira
Bir Ghbalou,Bir Ghbalou,Bouira
Bouira,Bouira,Bouira
Ain Turk,Bouira,Bouira
Ait Laaziz,Bouira,Bouira
Ain-Bessem,Ain Bessem,Bouira
El-Mokrani,Souk El Khemis,Bouira
Souk El Khemis,Souk El Khemis,Bouira
Aomar,Kadiria,Bouira
Djebahia,Kadiria,Bouira
El Hachimia,El Hachimia,Bouira
Haizer,Haizer,Bouira
Taghzout,Haizer,Bouira
Bouderbala,Lakhdaria,Bouira
Boukram,Lakhdaria,Bouira
Guerrouma,Lakhdaria,Bouira
Lakhdaria,Lakhdaria,Bouira
Maala,Lakhdaria,Bouira
Kadiria,Kadiria,Bouira
Z'barbar (El Isseri ),Lakhdaria,Bouira
Oued El Berdi,El Hachimia,Bouira
Tazrouk,Tazrouk,Tamanrasset
Abelsa,Silet,Tamanrasset
Tamanrasset,Tamanrasset,Tamanrasset
Ain Amguel,Tamanrasset,Tamanrasset
Idles,Tazrouk,Tamanrasset
El-Houidjbet,El Malabiod,Tébessa
El-Aouinet,El Aouinet,Tébessa
Ferkane,Negrine,Tébessa
Negrine,Negrine,Tébessa
Bir Mokkadem,Bir Mokadem,Tébessa
Bir Dheheb,Morsott,Tébessa
Saf Saf El Ouesra,Oum Ali,Tébessa
Guorriguer,Bir Mokadem,Tébessa
Bekkaria,El Kouif,Tébessa
Boulhaf Dyr,El Kouif,Tébessa
Oum Ali,Oum Ali,Tébessa
Boukhadra,El Aouinet,Tébessa
El Malabiod,El Malabiod,Tébessa
Ouenza,Ouenza,Tébessa
El Meridj,Ouenza,Tébessa
Ain Zerga,Ouenza,Tébessa
Stah Guentis,El Ogla,Tébessa
El Ogla,El Ogla,Tébessa
El Mezeraa,El Ogla,Tébessa
Bedjene,El Ogla,Tébessa
Morsott,Morsott,Tébessa
Telidjen,Cheria,Tébessa
Cheria,Cheria,Tébessa
El Ogla El Malha,Bir El Ater,Tébessa
Bir-El-Ater,Bir El Ater,Tébessa
Tebessa,Tebessa,Tébessa
Hammamet,Bir Mokadem,Tébessa
El Kouif,El Kouif,Tébessa
Bab El Assa,Bab El Assa,Tlemcen
Terny Beni Hediel,Mansourah,Tlemcen
Mansourah,Mansourah,Tlemcen
Beni Mester,Mansourah,Tlemcen
Ain Ghoraba,Mansourah,Tlemcen
Chetouane,Chetouane,Tlemcen
Amieur,Chetouane,Tlemcen
Ain Fezza,Chetouane,Tlemcen
Honnaine,Honnaine,Tlemcen
Beni Khellad,Honnaine,Tlemcen
Sidi Djillali,Sidi Djillali,Tlemcen
Bouihi,Sidi Djillali,Tlemcen
Nedroma,Nedroma,Tlemcen
M'sirda Fouaga,Marsa Ben Mehdi,Tlemcen
Marsa Ben M'hidi,Marsa Ben Mehdi,Tlemcen
Sidi Medjahed,Beni Boussaid,Tlemcen
Beni Boussaid,Beni Boussaid,Tlemcen
Sebdou,Sebdou,Tlemcen
El Gor,Sebdou,Tlemcen
El Aricha,Sebdou,Tlemcen
Bouhlou,Sabra,Tlemcen
Maghnia,Maghnia,Tlemcen
Hammam Boughrara,Maghnia,Tlemcen
Zenata,Hennaya,Tlemcen
Ouled Riyah,Hennaya,Tlemcen
Hennaya,Hennaya,Tlemcen
Sidi Abdelli,Bensekrane,Tlemcen
Souk Tleta,Bab El Assa,Tlemcen
Bensekrane,Bensekrane,Tlemcen
Fellaoucene,Fellaoucene,Tlemcen
Ain Kebira,Fellaoucene,Tlemcen
Ain Fetah,Fellaoucene,Tlemcen
Tlemcen,Tlemcen,Tlemcen
Ain Nehala,Ain Tellout,Tlemcen
Ain Tellout,Ain Tellout,Tlemcen
Ain Youcef,Remchi,Tlemcen
Beni Ouarsous,Remchi,Tlemcen
El Fehoul,Remchi,Tlemcen
Remchi,Remchi,Tlemcen
Sebbaa Chioukh,Remchi,Tlemcen
Souani,Bab El Assa,Tlemcen
Sabra,Sabra,Tlemcen
Dar Yaghmoracen,Ghazaouet,Tlemcen
Ghazaouet,Ghazaouet,Tlemcen
Souahlia,Ghazaouet,Tlemcen
Tianet,Ghazaouet,Tlemcen
Beni Smiel,Ouled Mimoun,Tlemcen
Oued Lakhdar,Ouled Mimoun,Tlemcen
Ouled Mimoun,Ouled Mimoun,Tlemcen
Beni Bahdel,Beni Snous,Tlemcen
Beni Snous,Beni Snous,Tlemcen
Azail,Beni Snous,Tlemcen
Djebala,Nedroma,Tlemcen
Mahdia,Mahdia,Tiaret
Ain Dzarit,Mahdia,Tiaret
Sebaine,Mahdia,Tiaret
Faidja,Sougueur,Tiaret
Si Abdelghani,Sougueur,Tiaret
Sougueur,Sougueur,Tiaret
Tousnina,Sougueur,Tiaret
Meghila,Meghila,Tiaret
Sebt,Meghila,Tiaret
Sidi Hosni,Meghila,Tiaret
Ain El Hadid,Frenda,Tiaret
Frenda,Frenda,Tiaret
Takhemaret,Frenda,Tiaret
Ain Kermes,Ain Kermes,Tiaret
Djebilet Rosfa,Ain Kermes,Tiaret
Madna,Ain Kermes,Tiaret
Medrissa,Ain Kermes,Tiaret
Sidi Abderrahmane,Ain Kermes,Tiaret
Ksar Chellala,Ksar Chellala,Tiaret
Guertoufa,Rahouia,Tiaret
Serghine,Ksar Chellala,Tiaret
Zmalet El Emir Abdelkade,Ksar Chellala,Tiaret
Oued Lilli,Oued Lili,Tiaret
Sidi Ali Mellal,Oued Lili,Tiaret
Djillali Ben Amar,Mechraa Sfa,Tiaret
Mechraa Safa,Mechraa Sfa,Tiaret
Tagdempt,Mechraa Sfa,Tiaret
Bougara,Hamadia,Tiaret
Hamadia,Hamadia,Tiaret
Rechaiga,Hamadia,Tiaret
Tidda,Oued Lili,Tiaret
Nadorah,Mahdia,Tiaret
Tiaret,Tiaret,Tiaret
Medroussa,Medroussa,Tiaret
Mellakou,Medroussa,Tiaret
Sidi Bakhti,Medroussa,Tiaret
Ain Deheb,Ain Deheb,Tiaret
Chehaima,Ain Deheb,Tiaret
Naima,Ain Deheb,Tiaret
Ain Bouchekif,Dahmouni,Tiaret
Dahmouni,Dahmouni,Tiaret
Rahouia,Rahouia,Tiaret
Mizrana,Tigzirt,Tizi Ouzou
Idjeur,Bouzeguene,Tizi Ouzou
Beni-Douala,Beni Douala,Tizi Ouzou
Beni-Zikki,Bouzeguene,Tizi Ouzou
Illoula Oumalou,Bouzeguene,Tizi Ouzou
Agouni-Gueghrane,Ouadhias,Tizi Ouzou
Ait Bouaddou,Ouadhias,Tizi Ouzou
Ouadhias,Ouadhias,Tizi Ouzou
Tizi N'tleta,Ouadhias,Tizi Ouzou
Aghribs,Azeffoun,Tizi Ouzou
Ait-Chafaa,Azeffoun,Tizi Ouzou
Akerrou,Azeffoun,Tizi Ouzou
Azeffoun,Azeffoun,Tizi Ouzou
Iflissen,Tigzirt,Tizi Ouzou
Tigzirt,Tigzirt,Tizi Ouzou
Assi-Youcef,Boghni,Tizi Ouzou
Boghni,Boghni,Tizi Ouzou
Bounouh,Boghni,Tizi Ouzou
Mechtras,Boghni,Tizi Ouzou
Draa-Ben-Khedda,Draa Ben Khedda,Tizi Ouzou
Sidi Namane,Draa Ben Khedda,Tizi Ouzou
Tadmait,Draa Ben Khedda,Tizi Ouzou
Tirmitine,Draa Ben Khedda,Tizi Ouzou
Ait Boumahdi,Ouacif,Tizi Ouzou
Ait-Toudert,Ouacif,Tizi Ouzou
Beni-Aissi,Beni Douala,Tizi Ouzou
Ouacif,Ouacif,Tizi Ouzou
Ait Khellili,Mekla,Tizi Ouzou
Mekla,Mekla,Tizi Ouzou
Souama,Mekla,Tizi Ouzou
Beni-Yenni,Benni Yenni,Tizi Ouzou
Iboudrarene,Benni Yenni,Tizi Ouzou
Tizi-Ouzou,Tizi Ouzou,Tizi Ouzou
Abi-Youcef,Ain El Hammam,Tizi Ouzou
Ain-El-Hammam,Ain El Hammam,Tizi Ouzou
Ait-Yahia,Ain El Hammam,Tizi Ouzou
Akbil,Ain El Hammam,Tizi Ouzou
Boudjima,Makouda,Tizi Ouzou
Makouda,Makouda,Tizi Ouzou
Ain-Zaouia,Draa El Mizan,Tizi Ouzou
Ait Yahia Moussa,Draa El Mizan,Tizi Ouzou
Draa-El-Mizan,Draa El Mizan,Tizi Ouzou
Frikat,Draa El Mizan,Tizi Ouzou
M'kira,Tizi-Ghenif,Tizi Ouzou
Tizi-Gheniff,Tizi-Ghenif,Tizi Ouzou
Yatafene,Benni Yenni,Tizi Ouzou
Illilten,Iferhounene,Tizi Ouzou
Imsouhal,Iferhounene,Tizi Ouzou
Azazga,Azazga,Tizi Ouzou
Freha,Azazga,Tizi Ouzou
Ifigha,Azazga,Tizi Ouzou
Yakourene,Azazga,Tizi Ouzou
Zekri,Azazga,Tizi Ouzou
Ait Aggouacha,Larbaa Nath Iraten,Tizi Ouzou
Irdjen,Larbaa Nath Iraten,Tizi Ouzou
Larbaa Nath Irathen,Larbaa Nath Iraten,Tizi Ouzou
Ait-Oumalou,Tizi Rached,Tizi Ouzou
Tizi-Rached,Tizi Rached,Tizi Ouzou
Ait-Aissa-Mimoun,Ouaguenoun,Tizi Ouzou
Ouaguenoun,Ouaguenoun,Tizi Ouzou
Timizart,Ouaguenoun,Tizi Ouzou
Maatkas,Maatkas,Tizi Ouzou
Souk-El-Tenine,Maatkas,Tizi Ouzou
Ait-Mahmoud,Beni Douala,Tizi Ouzou
Beni Zmenzer,Beni Douala,Tizi Ouzou
Iferhounene,Iferhounene,Tizi Ouzou
Bouzeguene,Bouzeguene,Tizi Ouzou
Hussein Dey,Hussein Dey,Alger
Les Eucalyptus,Baraki,Alger
Sidi Moussa,Baraki,Alger
Kouba,Hussein Dey,Alger
Mohamed Belouzdad,Hussein Dey,Alger
Ain Taya,Dar El Beida,Alger
Bab Ezzouar,Dar El Beida,Alger
Bordj El Kiffan,Dar El Beida,Alger
Dar El Beida,Dar El Beida,Alger
El Marsa,Dar El Beida,Alger
Mohammadia,Dar El Beida,Alger
Bir Touta,Birtouta,Alger
Ouled Chebel,Birtouta,Alger
